Course Code,Course Name,Course Units,Course Description,Prerequisites
ANTH 197,Field Studies,4,"Directed group study on a topic or in a field not included in the regular departmental curriculum by special arrangement with a faculty member. Student may take this course twice for credit. Please note: Majors may only apply eight units of approved P/NP credit toward the major, and minors may only apply four units of P/NP credit toward the minor. Please contact the department for a list of courses you may take on a P/NP basis and apply toward the major or minor.",consent of instructor and upper-division standing with minimum GPA of 2.5 and completed and approved Special Studies form. Department approval required. (Formerly known as ANPR 198.)
ANTH 198,Directed Group Study,4,"Directed group study on a topic or in a field not included in the regular departmental curriculum by special arrangement with a faculty member. Student may take this course twice for credit. Please note: Majors may only apply eight units of approved P/NP credit toward the major, and minors may only apply four units of P/NP credit toward the minor. Please contact the department for a list of courses you may take on a P/NP basis and apply toward the major or minor.",consent of instructor and upper-division standing with minimum GPA of 2.5 and completed and approved Special Studies form. Department approval required. (Formerly known as ANPR 198.)
ANTH 199,Independent Study,4,"Independent study and research under the direction of a member of the faculty. Student may take this course twice for credit. Please note: majors may only apply eight units of approved P/NP credit toward the major, and minors may only apply four units of P/NP credit toward the minor. Please contact the department for a list of courses you may take on a P/NP basis and apply toward the major or minor.",consent of instructor and upper-division standing with minimum GPA of 2.5 and completed and approved Special Studies form. Department approval required. (Formerly known as ANPR 199.)
ANAR 100,Special Topics in Anthropological Archaeology,4,"Course will vary in title and content. When offered, the current description and title is found in the current Schedule of Classes and the Department of Anthropology website. May be taken for credit four times.",upper-division standing or consent of instructor.
ANAR 104,Introduction to Geographic Information Systems,4,"This course is an introduction to geographic information systems (GIS) and spatial analysis for anthropologists and archaeologists. The course will provide students with background theory and basic skills in GIS through lectures and hands-on lab activities. Students will learn the basics of acquiring, storing, manipulating, analyzing, and visualizing spatial data for anthropological study.",upper-division standing.
ANAR 105,The Archaeology of Literate Societies in Mesoamerica,4,"Mesoamerican societies were writing their histories for 2,000 years before the Spanish conquest. Employing interdisciplinary methods of archaeological, historical, and anthropological source-integration, this course will explore the principles and challenges of studying literate societies, and the relevance to their contemporary descendants.",None
ANAR 111,Foundations of Archaeology,4,"As part of the broad discipline of anthropology, archaeology provides the long chronological record needed for investigating human and social evolution. The theories and methods used in this field are examined. (Archaeology core sequence course.) Recommended preparation: ANTH 3.",upper-division standing.
ANAR 113,"Past, Present, and Future Perspectives on Natural Resources in Israel",4,"The class will provide a basic overview of Israel’s natural resources, including water, stone, minerals, oil, and gas. Case studies on ancient exploitation of these resources will be presented (e.g., copper extraction from ore in the Negev, water management in Biblical Israel, stone quarrying for the Temple Mount, etc.), followed by a discussion on the current role of these resources in the economy of modern Israel.",upper-division standing.
ANAR 114,Environmental Hazards in Israel,4,"Israel, like California, is located on a complex tectonic boundary, which is responsible for a history of earthquakes, volcanism, and tsunamis. How great is the risk today and what will be the regional impact of a major earthquake? We will try to answer these questions by understanding the basic geology of Israel and reviewing the history of natural disasters as recorded by archaeology and historical documentation.",upper-division standing.
ANAR 115,Coastal Geomorphology and Environmental Change—Perspectives from Israel and the South-Eastern Mediterranean,4,"Students will develop a broad understanding of the morphological features that are identified in coastal systems, and the short- and long-term processes that shape them through time. Students will become familiar with terminology, approaches, and methodologies used in coastal geomorphological research, which are relevant for today’s study of climate and environmental change, with a focus on coastal sedimentary environments and an emphasis on the coast of Israel from ancient times until today.",upper-division standing.
ANAR 115B,Coastal Geomorphology and GIS Applications,4,"Students will develop a broad understanding of the morphological features that are identified in coastal systems, and the short- and long-term processes that shape them through time. Students will become familiar with GIS applications, terminology, approaches, and methodologies used in coastal geomorphological research, which are relevant for today’s study of climate and environmental change with a focus on coastal sedimentary environments from ancient times until today.",upper-division standing.
ANAR 116,Sea Level Change—The Israel Case in World Perspective,4,"This course provides students with a broad understanding of the most current sea level change research that has been conducted around the globe. Students will be introduced to the general terminology used in this field, coastal shallow marine and deep-sea sea level indicators, and their degree of uncertainty, along with corresponding dating methods. An emphasis will be given to sea-level studies conducted in Israel and neighboring lands.",upper-division standing.
ANAR 117,"Archaeological Field and Lab Class, Southern California",8,"The archaeological field and laboratory class will take place in the field in San Diego or adjacent counties. This course is a hands-on introduction to the research design of interdisciplinary archaeological projects and techniques of data collection, including survey, excavation, or laboratory analysis. May be taken for credit up to two times. Program or materials fees may apply.",upper-division standing or consent of instructor.
ANAR 118,Archaeology of the UC San Diego Campus,4,"Our campus houses some of the earliest human settlements in North America. This course reviews the archaeology, climate, and environment of the sites and outlines research aimed at understanding the lives of these early peoples.",upper-division standing or consent of instructor.
ANAR 119S,Archaeological Field and Lab Class,8,"The archaeological field and laboratory class will take place at Moquegua, Peru. It is an introduction to the research design of interdisciplinary projects, the technique of data collections, the methods of excavation and postexcavation lab work. Course materials fees may apply.",upper-division standing or consent of instructor.
ANAR 120,Documenting Climate Change: Past and Present,4,"This course will help familiarize students with the types of methods that people use to document shifting climate in the past and present day, in addition to training on geospatial data sets.",upper-division standing or consent of instructor.
ANAR 121,Cyber-Archaeology and World Digital Cultural Heritage,4,"Concerns the latest developments in digital data capture, analyses, curation, and dissemination for cultural heritage. Introduction to geographic information systems (GIS), spatial analysis, and digital technologies applied to documentation and promotion of cultural heritage and tourism. Lectures and lab exercises.",upper-division standing or consent of instructor.
ANAR 124,Archaeology of Asia,4,"This course explores the archaeology of Asia from the first humans through the rise of state societies. Topics include the environmental setting, pioneer migrations, hunting and gathering societies, plant and animal domestication, and the development of metallurgy, agriculture, technology, trade, and warfare in early civilizations. We consider how ancient political, intellectual, and artistic achievements shape the archaeological heritage in present-day Asia.",upper-division standing.
ANAR 135,Ancient Mediterranean Civilization,8,"Study Abroad Program that examines the origins and history of ancient Mediterranean civilizations from the late Neolithic period through the classical era. During the course, students will visit some of the most important archaeological sites in the world, from the ancient megalithic temples of Malta, to Phoenician colonies of the early Iron Age, to the Carthaginian and Greek cities of Sicily, and ending with Roman Pompeii and Herculaneum, destroyed by the eruption of Vesuvius in AD 79. Students are required to apply for this Study Abroad course. Program or materials fees may apply.",upper-division standing. Department approval required. Students cannot receive credit for ANAR 135S and ANAR 135.
ANAR 135S,Ancient Mediterranean Civilization,8,"Summer Study Abroad Program that examines the origins and history of ancient Mediterranean civilizations from the late Neolithic period through the classical era. During the course, students will visit some of the most important archaeological sites in the world, from the ancient megalithic temples of Malta, to Phoenician colonies of the early Iron Age, to the Carthaginian and Greek cities of Sicily, and ending with Roman Pompeii and Herculaneum, destroyed by the eruption of Vesuvius in AD 79. Students are required to apply for this Study Abroad course. Program or materials fees may apply.",upper-division standing. Department approval required. Students cannot receive credit for ANAR 135S and ANAR 135.
ANAR 138,Mesopotamia: The Emergence of Civilization,4,This course explores in detail the rise of the world’s earliest cities and states in Mesopotamia and the ancient Near East during the fourth millennium B.C.,upper-division standing.
ANAR 141,Prehistory of the Holy Land,4,Israel is a land-bridge between Africa and Asia. Course highlights the prehistory of the Levant and its interconnections from the Paleolithic to the rise of the earliest cities in anthropological perspective.,upper-division standing.
ANAR 142,The Rise and Fall of Ancient Israel,4,"The emergence and consolidation of the state in ancient Israel is explored by using archaeological data, biblical texts, and anthropological theories. The social and economic processes responsible for the rise and collapse of ancient Israel are investigated. Recommended preparation: ANTH 3.",upper-division standing.
ANAR 143,Biblical Archaeology—Fact or Fiction,4,"The relationship between archaeological data, historical research, the Hebrew Bible, and anthropological theory are explored along with new methods and current debates in Levantine archaeology.",upper-division standing.
ANAR 144,"Pharaohs, Mummies, and Pyramids: Introduction to Egyptology",4,"An introductory survey of the archaeology, history, art, and architecture of ancient Egypt that focuses on the men and women who shaped Western civilization.",upper-division standing.
ANAR 145S,Study Abroad: Egypt of the Pharaohs,4,"Introduction to the archaeology, history, art, architecture, and hieroglyphs of ancient Egypt. Taught in the field through visits to important temples, pyramids, palaces, and museums in Egypt. Complementary to ANAR 144. Course/program fees may apply.",consent of instructor only.
ANAR 146,Feeding the World,4,"What should we eat and how should we farm to guide a sustainable future? This course will examine what humans evolved to eat and how we began to first cultivate the foods we rely on today. After a survey of traditional farming methods around the world, we will examine how farming systems have changed since the Green Revolution and its successes and failures. The final part of class will focus on the last twenty years, when humans began to modify plant life at the genetic level. Students may not receive credit for ANAR 146 and SIO 146.",upper-division standing.
ANAR 153,The Mysterious Maya,4,"The archaeology, anthropology, and history of the Maya civilization, which thrived in Mexico and Central America from 1000 BC, until the Spanish conquest.",upper-division standing.
ANAR 154,The Aztecs and their Ancestors,4,"Introduction to the archaeology of the ancient culture of Mexico from the early Olmec culture through the Postclassic Aztec, Tarascan, Zapotec, and Mixtec states. Agriculture; trade and exchange; political and social organization; kinship networks; religious system, ideology, and worldviews.",upper-division standing.
ANAR 155,Study Abroad: Ancient Mesoamerica,4,This course is an introduction to the archaeology of Mesoamerica and will provide students with the opportunity to gain practical skills from the field. Students will learn hands on by visiting significant ancient cities and museums in Mexico and Central America. Students may receive a combined total of twelve units for ANAR 155 and ANAR 155S. Program or materials fees may apply.,students must apply to study abroad program and obtain consent of instructor.
ANAR 155S,Study Abroad: Ancient Mesoamerica,4,"Introduction to archaeology of Mesoamerica, taught through visits to important ancient cities and museums of Mexico and Central America. Complementary to ANAR 154. Itinerary and subject will vary, so course may be taken more than once. Students may receive a combined total of twelve units for ANAR 155S and ANAR 155. Program or materials fees may apply.",students must apply and be accepted to the study abroad program to be given permission to enroll.
ANAR 156,The Archaeology of South America,4,This course will examine archaeological evidence for the development of societies in the South American continent. From the initial arrival of populations through to the Inca period and the arrival of the Spaniards.,upper-division standing.
ANAR 157,Early Empires of the Andes: The Middle Horizon,4,"The civilizations of Wari and Tiwanaku built the first empires of Andean South America long before the Inca. Middle Horizon (AD 500–1000) mythohistory, urbanism, state origins, art, technology, agriculture, colonization, trade, and conquest are explored using ethnohistory and archaeological sources. Students may not receive credit for both ANAR 157S and ANAR 157.",upper-division standing or consent of instructor.
ANAR 157S,Early Empires of the Andes: The Middle Horizon,4,"The civilizations of Wari and Tiwanaku built the first empires of Andean South America long before the Inca. Middle Horizon (AD 500–1000) mythohistory, urbanism, state origins, art, technology, agriculture, colonization, trade, and conquest are explored using ethnohistory and archaeological sources. Course is offered during summer Study Abroad. Students may not receive credit for both ANAR 157 and ANAR 157S.",upper-division standing or consent of instructor.
ANAR 158,The Inca: Empire of the Andes,4,"The history and culture of the Inca Empire of South America and its fatal encounter with the West. Archaeological excavations, accounts from the sixteenth and seventeenth centuries, and ethnographies of present-day peoples of the Andes are explored.",upper-division standing or consent of instructor.
ANAR 158GS,The Inca,4,"The archaeological record, Spanish sources, and ethnography of descendants provide distinct insights into Tawantinsuyu, the empire of the Incas. This course will visit key sites, monuments, and museum exhibitions relevant to the Inca empire and its expansion and continuity into the Spanish Colonial period. Lectures and readings on the archaeology, ethnohistory, and ethnography of South America will explore the origins and expansion of the Incas in conjunction with field trips and museum visits.",upper-division standing. Students must submit applications to the Global Initiatives Study Abroad Office and be accepted into the Global Seminars Program.
ANAR 159,Pre-Hispanic Societies of the Caribbean Archipelago,4,"This course focuses on the social processes shaping the pre-Hispanic societies of the Caribbean Archipelago from 7kya to 1500 CE. Through the lens of material culture, we examine the archaeology of both the Greater and the Lesser Antilles, and recognize the role that colonialism has had on modern Caribbean identities and discourses, including the development of Tainidad as indigeneity in the present.",upper-division standing.
ANAR 159GS,"“1492”: Coexistence, Crusade, and the Origins of the Spanish Conquest",4,"This course will focus on the period from 711 through the end of the sixteenth century, and will contrast evidence for “Convivencia” (multicultural coexistence) versus the history of hostility, crusade, and religious intolerance among three great cultures of medieval Spain. We will then trace the direct line from the negotiation of identity and intercultural frontiers in Spain, to the conquest of the Americas and interaction with Native Americans. Program or materials fees may apply.",upper-division standing. Students must submit applications to the Global Initiatives Study Abroad Office and be accepted into the Global Seminars Program.
ANAR 160,Ancient Maya: Archaeological Problems and Perspectives,4,"This course considers in detail a particular region or archaeological site within the Maya area. Content will cover primary literature on Maya archaeology, epigraphy, and art history. Course content will vary based on the specific region/site. May be taken for credit three times.",upper-division standing and ANAR 153. Graduate students wishing to enroll should have already taken ANTH 202.
ANAR 164,Underwater Archaeology—From Atlantis to Science,4,"(Cross-listed with SIO 164.) Underwater archaeology provides access to ancient environmental and cultural data concerning human adaptation to climate and environmental change. Provides an overview of methods, theories, and practice of marine archaeology including environmental characteristics of coastal and underwater settings; the nature of ports, navigation, maritime culture, submerged landscapes, shipbuilding; methods of research in underwater settings; and legislative issues regarding underwater and coastal heritage. Students may not receive credit for both ANAR 164 and SIO 164.",upper-division standing.
ANAR 165,Marine and Coastal Archaeology and the Biblical Seas,4,"This course will follow the interaction between humans and the sea in cultures that formed the biblical world of the second and first millennium BCE: the Canaanites, Israelites, Egyptians, Phoenicians, Philistines, and cultures of the Aegean Sea. Themes discussed will be maritime matters in the Canaanite and biblical narrative, key discoveries in maritime coastal archaeology of the eastern Mediterranean, shipwrecks: Canaanite, Phoenician, and Aegean, Egyptian ports, and Egyptian sea adventures.",upper-division standing.
ANAR 166,Introduction to Environmental Archaeology—Theory and Method of Socioecodynamics and Human Paleoecology,4,"(Cross-listed with SIO 166.) Introduction to the multidisciplinary tools for paleoenvironmental analysis—from ecology, sedimentology, climatology, zoology, botany, chemistry, and others—and provides the theory and method to investigate the dynamics between human behavior and natural processes. This socioecodynamic perspective facilitates a nuanced understanding of topics such as resource overexploitation, impacts on biodiversity, social vulnerability, sustainability, and responses to climate change. Students may not receive credit for ANAR 166 and SIO 166.",None
ANAR 167,Geoarchaeology in Theory and Practice,6,"(Cross-listed with SIO 167.) As specialists in human timescales, archaeologists are trained to identify subtle details that are often imperceptible for other geoscientists. This course is designed to train archaeologists to identify the natural processes affecting the archaeological record, and geoscientists to identify the influence of human behavior over land surfaces. The course, which includes lectures, laboratory training, and field observations, focuses on the articulation of sedimentology and human activity. Students may not receive credit for both ANAR 167 and SIO 167.",upper-division standing.
ANAR 180,Archaeology Workshop: Advanced Lab Work in Archaeology,4,"This course examines the ways in which archaeologists study ancient artifacts, contexts, and their distribution in time and space to interpret ancient cultures. It will cover basic techniques of collections and field research with particular concentration on the quantitative contextual, spatial, stylistic, and technological analyses of artifacts and ecofacts from ongoing UC San Diego field projects in archaeology.",upper-division standing.
ANAR 182,Origins of Agriculture and Sedentism,4,Varying theoretical models and available archaeological evidence are examined to illuminate the socio-evolutionary transition from nomadic hunter-gathering groups to fully sedentary agricultural societies in the Old and New Worlds. Archaeology concentration course. Recommended preparation: ANTH 3.,upper-division standing.
ANAR 183,"Chiefdoms, States, and the Emergence of Civilizations",4,The course focuses on theoretical models for the evolution of complex societies and on archaeological evidence for the development of various pre- and protohistoric states in selected areas of the Old and New Worlds. Archaeology concentration course. Recommended preparation: ANTH 3.,upper-division standing.
ANAR 184,Empires in Archaeological Perspective,4,"In what ways were ancient empires different from modern ones? We discuss theories of imperialism and examine cross-cultural similarities and differences in the strategies ancient empires used to expand and explore how they produced, acquired, and distributed wealth.",upper-division standing.
ANAR 185,Middle East Desert Cultural Ecology,4,The course uses a comparative perspective to examine changes in how human societies organized themselves after the end of the last Ice Age across the world and the impact that those changes had on the planet’s natural environment.,upper-division standing.
ANAR 186,The Human Era: The Archaeology of the Anthropocene,4,The course uses a comparative perspective to examine changes in how human societies organized themselves after the end of the last Ice Age across the world and the impact that those changes had on the planet’s natural environment.,upper-division standing.
ANAR 190,Eastern Mediterranean Archaeological Field School,12,"The archaeological field school will take place in the eastern Mediterranean region. It is an introduction to the design of research projects, the techniques of data collection, and the methods of excavation. Includes postexcavation lab work, study trips, and field journal. Program or materials fees may apply.",upper-division standing or consent of instructor.
ANAR 191,Advanced Cyber-Archaeology Field School,12,"Students learn advanced field methods in cyber-archaeology and excavation. Includes 3-D data capture tools and processing, digital photography, construction of research designs, cyber-infrastructure. Takes place in the eastern Mediterranean region. Program or materials fees may apply.",upper-division standing and consent of instructor.
ANBI 100,Special Topics in Biological Anthropology,4,"Course usually taught by visiting faculty in biological anthropology. Course will vary in title and content. When offered, the current description and title is found in the current Schedule of Classes and the Department of Anthropology website. May be taken for credit four times as topics vary.",upper-division standing.
ANBI 109,Brain Mind Workshop,2,"A weekly forum for presentation and discussion of work in anthropology and cognitive neuroscience by faculty, students, and guest speakers. P/NP only. Please note: Majors may only apply eight units of approved P/NP credit toward the major, and minors may only apply four units of P/NP credit toward the minor.",upper-division standing.
ANBI 111,Human Evolution,4,Major stages of human evolution including the fossil evidence for biological and cultural changes through time.,upper-division standing.
ANBI 112,Methods in Human Comparative Neuroscience,4,"Structural, molecular, cellular, and hybrid methods are used to examine the conserved and derived features of the human brain. Students will study the literature on these methods, observe their application in the design and execution of laboratory experiments, and discuss the challenges involved in their application, including limitations and strengths.",upper-division standing.
ANBI 114,Methods in Primate Conservation,4,"Primate (and other vertebrate) conservation involves a variety of methods: field (e.g., population and habitat assessment), computer (e.g., population genetic models), and increasingly the web (e.g., interactive GIS and databases). Course takes problem-solving approach to learning some of these methods.",upper-division standing.
ANBI 116,Human Sexuality in an Evolutionary Perspective,4,This course examines how human sexuality evolved and how it is similar/dissimilar to that of other primates. The topics include the evolution of mating strategies and parenting strategies including the role of sexual selection and how hormones control these behaviors.,upper-division standing.
